Date,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,County FIPS Code,County,Site Latitude,Site Longitude
01/20/2025,261250001,1,3.6,ug/m3 LC,20,Oak Park,125,Oakland,42.46306341,-83.18319868
01/21/2025,261250001,1,4.8,ug/m3 LC,27,Oak Park,125,Oakland,42.46306341,-83.18319868
01/22/2025,261250001,1,7.5,ug/m3 LC,42,Oak Park,125,Oakland,42.46306341,-83.18319868
01/23/2025,261250001,1,8.7,ug/m3 LC,48,Oak Park,125,Oakland,42.46306341,-83.18319868
01/24/2025,261250001,1,7.9,ug/m3 LC,44,Oak Park,125,Oakland,42.46306341,-83.18319868
01/25/2025,261250001,1,11.9,ug/m3 LC,56,Oak Park,125,Oakland,42.46306341,-83.18319868
01/26/2025,261250001,1,4.6,ug/m3 LC,26,Oak Park,125,Oakland,42.46306341,-83.18319868
01/27/2025,261250001,1,5.9,ug/m3 LC,33,Oak Park,125,Oakland,42.46306341,-83.18319868
01/28/2025,261250001,1,4.2,ug/m3 LC,23,Oak Park,125,Oakland,42.46306341,-83.18319868
01/29/2025,261250001,1,3.3,ug/m3 LC,18,Oak Park,125,Oakland,42.46306341,-83.18319868
01/30/2025,261250001,1,7.6,ug/m3 LC,42,Oak Park,125,Oakland,42.46306341,-83.18319868
01/31/2025,261250001,1,11.4,ug/m3 LC,55,Oak Park,125,Oakland,42.46306341,-83.18319868
02/01/2025,261250001,1,3.2,ug/m3 LC,18,Oak Park,125,Oakland,42.46306341,-83.18319868
02/02/2025,261250001,1,10.1,ug/m3 LC,53,Oak Park,125,Oakland,42.46306341,-83.18319868
02/03/2025,261250001,1,22,ug/m3 LC,75,Oak Park,125,Oakland,42.46306341,-83.18319868
02/04/2025,261250001,1,3.6,ug/m3 LC,20,Oak Park,125,Oakland,42.46306341,-83.18319868
02/05/2025,261250001,1,3.3,ug/m3 LC,18,Oak Park,125,Oakland,42.46306341,-83.18319868
02/06/2025,261250001,1,7.5,ug/m3 LC,42,Oak Park,125,Oakland,42.46306341,-83.18319868
02/07/2025,261250001,1,5.6,ug/m3 LC,31,Oak Park,125,Oakland,42.46306341,-83.18319868
02/08/2025,261250001,1,11.1,ug/m3 LC,55,Oak Park,125,Oakland,42.46306341,-83.18319868
02/09/2025,261250001,1,7.4,ug/m3 LC,41,Oak Park,125,Oakland,42.46306341,-83.18319868
02/10/2025,261250001,1,10.2,ug/m3 LC,53,Oak Park,125,Oakland,42.46306341,-83.18319868
02/11/2025,261250001,1,11.6,ug/m3 LC,56,Oak Park,125,Oakland,42.46306341,-83.18319868
02/12/2025,261250001,1,10.3,ug/m3 LC,53,Oak Park,125,Oakland,42.46306341,-83.18319868
02/13/2025,261250001,1,5.2,ug/m3 LC,29,Oak Park,125,Oakland,42.46306341,-83.18319868
02/14/2025,261250001,1,14.8,ug/m3 LC,62,Oak Park,125,Oakland,42.46306341,-83.18319868
02/15/2025,261250001,1,17,ug/m3 LC,66,Oak Park,125,Oakland,42.46306341,-83.18319868
02/16/2025,261250001,1,6.4,ug/m3 LC,36,Oak Park,125,Oakland,42.46306341,-83.18319868
02/17/2025,261250001,1,3.1,ug/m3 LC,17,Oak Park,125,Oakland,42.46306341,-83.18319868
02/18/2025,261250001,1,4.2,ug/m3 LC,23,Oak Park,125,Oakland,42.46306341,-83.18319868
02/19/2025,261250001,1,4.2,ug/m3 LC,23,Oak Park,125,Oakland,42.46306341,-83.18319868
02/20/2025,261250001,1,4,ug/m3 LC,22,Oak Park,125,Oakland,42.46306341,-83.18319868
02/21/2025,261250001,1,4.3,ug/m3 LC,24,Oak Park,125,Oakland,42.46306341,-83.18319868
02/22/2025,261250001,1,14.5,ug/m3 LC,61,Oak Park,125,Oakland,42.46306341,-83.18319868
02/23/2025,261250001,1,16.2,ug/m3 LC,64,Oak Park,125,Oakland,42.46306341,-83.18319868
02/24/2025,261250001,1,13.1,ug/m3 LC,58,Oak Park,125,Oakland,42.46306341,-83.18319868
02/25/2025,261250001,1,6.8,ug/m3 LC,38,Oak Park,125,Oakland,42.46306341,-83.18319868
02/26/2025,261250001,1,9.8,ug/m3 LC,52,Oak Park,125,Oakland,42.46306341,-83.18319868
02/27/2025,261250001,1,9.9,ug/m3 LC,52,Oak Park,125,Oakland,42.46306341,-83.18319868
02/28/2025,261250001,1,4.6,ug/m3 LC,26,Oak Park,125,Oakland,42.46306341,-83.18319868
03/01/2025,261250001,1,2.3,ug/m3 LC,13,Oak Park,125,Oakland,42.46306341,-83.18319868
03/02/2025,261250001,1,4.4,ug/m3 LC,24,Oak Park,125,Oakland,42.46306341,-83.18319868
03/03/2025,261250001,1,11.3,ug/m3 LC,55,Oak Park,125,Oakland,42.46306341,-83.18319868
03/04/2025,261250001,1,10.9,ug/m3 LC,54,Oak Park,125,Oakland,42.46306341,-83.18319868
03/05/2025,261250001,1,5.6,ug/m3 LC,31,Oak Park,125,Oakland,42.46306341,-83.18319868
03/06/2025,261250001,1,1.6,ug/m3 LC,9,Oak Park,125,Oakland,42.46306341,-83.18319868
03/07/2025,261250001,1,5.3,ug/m3 LC,29,Oak Park,125,Oakland,42.46306341,-83.18319868
03/08/2025,261250001,1,3.4,ug/m3 LC,19,Oak Park,125,Oakland,42.46306341,-83.18319868
03/09/2025,261250001,1,4.4,ug/m3 LC,24,Oak Park,125,Oakland,42.46306341,-83.18319868
03/10/2025,261250001,1,5.6,ug/m3 LC,31,Oak Park,125,Oakland,42.46306341,-83.18319868
03/11/2025,261250001,1,4.6,ug/m3 LC,26,Oak Park,125,Oakland,42.46306341,-83.18319868
03/12/2025,261250001,1,3,ug/m3 LC,17,Oak Park,125,Oakland,42.46306341,-83.18319868
03/13/2025,261250001,1,8.3,ug/m3 LC,46,Oak Park,125,Oakland,42.46306341,-83.18319868
03/14/2025,261250001,1,13.4,ug/m3 LC,59,Oak Park,125,Oakland,42.46306341,-83.18319868
03/15/2025,261250001,1,9.4,ug/m3 LC,52,Oak Park,125,Oakland,42.46306341,-83.18319868
03/16/2025,261250001,1,3.6,ug/m3 LC,20,Oak Park,125,Oakland,42.46306341,-83.18319868
03/17/2025,261250001,1,3.6,ug/m3 LC,20,Oak Park,125,Oakland,42.46306341,-83.18319868
03/18/2025,261250001,1,6.2,ug/m3 LC,34,Oak Park,125,Oakland,42.46306341,-83.18319868
03/19/2025,261250001,1,8.2,ug/m3 LC,46,Oak Park,125,Oakland,42.46306341,-83.18319868
03/20/2025,261250001,1,3.1,ug/m3 LC,17,Oak Park,125,Oakland,42.46306341,-83.18319868
03/21/2025,261250001,1,4.5,ug/m3 LC,25,Oak Park,125,Oakland,42.46306341,-83.18319868
03/22/2025,261250001,1,2.9,ug/m3 LC,16,Oak Park,125,Oakland,42.46306341,-83.18319868
03/23/2025,261250001,1,5.3,ug/m3 LC,29,Oak Park,125,Oakland,42.46306341,-83.18319868
03/24/2025,261250001,1,4.4,ug/m3 LC,24,Oak Park,125,Oakland,42.46306341,-83.18319868
03/25/2025,261250001,1,2.9,ug/m3 LC,16,Oak Park,125,Oakland,42.46306341,-83.18319868
03/26/2025,261250001,1,3.4,ug/m3 LC,19,Oak Park,125,Oakland,42.46306341,-83.18319868
03/27/2025,261250001,1,7.6,ug/m3 LC,42,Oak Park,125,Oakland,42.46306341,-83.18319868
03/28/2025,261250001,1,10.1,ug/m3 LC,53,Oak Park,125,Oakland,42.46306341,-83.18319868
03/29/2025,261250001,1,9,ug/m3 LC,50,Oak Park,125,Oakland,42.46306341,-83.18319868
03/30/2025,261250001,1,9.4,ug/m3 LC,52,Oak Park,125,Oakland,42.46306341,-83.18319868
03/31/2025,261250001,1,2.4,ug/m3 LC,13,Oak Park,125,Oakland,42.46306341,-83.18319868
04/01/2025,261250001,1,3.1,ug/m3 LC,17,Oak Park,125,Oakland,42.46306341,-83.18319868
04/02/2025,261250001,1,4.9,ug/m3 LC,27,Oak Park,125,Oakland,42.46306341,-83.18319868
04/03/2025,261250001,1,3.6,ug/m3 LC,20,Oak Park,125,Oakland,42.46306341,-83.18319868
04/04/2025,261250001,1,3.7,ug/m3 LC,21,Oak Park,125,Oakland,42.46306341,-83.18319868
04/05/2025,261250001,1,3.8,ug/m3 LC,21,Oak Park,125,Oakland,42.46306341,-83.18319868
01/01/2025,261470005,1,2.2,ug/m3 LC,12,Port Huron,147,St. Clair,42.953336,-82.456229
01/02/2025,261470005,1,4.5,ug/m3 LC,25,Port Huron,147,St. Clair,42.953336,-82.456229
01/03/2025,261470005,1,2.9,ug/m3 LC,16,Port Huron,147,St. Clair,42.953336,-82.456229
01/04/2025,261470005,1,2.1,ug/m3 LC,12,Port Huron,147,St. Clair,42.953336,-82.456229
01/05/2025,261470005,1,3.1,ug/m3 LC,17,Port Huron,147,St. Clair,42.953336,-82.456229
01/06/2025,261470005,1,2.4,ug/m3 LC,13,Port Huron,147,St. Clair,42.953336,-82.456229
01/07/2025,261470005,1,1.6,ug/m3 LC,9,Port Huron,147,St. Clair,42.953336,-82.456229
01/08/2025,261470005,1,2.6,ug/m3 LC,14,Port Huron,147,St. Clair,42.953336,-82.456229
01/09/2025,261470005,1,5.1,ug/m3 LC,28,Port Huron,147,St. Clair,42.953336,-82.456229
01/10/2025,261470005,1,18,ug/m3 LC,68,Port Huron,147,St. Clair,42.953336,-82.456229
01/11/2025,261470005,1,15.6,ug/m3 LC,63,Port Huron,147,St. Clair,42.953336,-82.456229
01/12/2025,261470005,1,13.7,ug/m3 LC,60,Port Huron,147,St. Clair,42.953336,-82.456229
01/13/2025,261470005,1,6.4,ug/m3 LC,36,Port Huron,147,St. Clair,42.953336,-82.456229
01/14/2025,261470005,1,5.1,ug/m3 LC,28,Port Huron,147,St. Clair,42.953336,-82.456229
01/15/2025,261470005,1,5.4,ug/m3 LC,30,Port Huron,147,St. Clair,42.953336,-82.456229
01/16/2025,261470005,1,14.4,ug/m3 LC,61,Port Huron,147,St. Clair,42.953336,-82.456229
01/17/2025,261470005,1,7.9,ug/m3 LC,44,Port Huron,147,St. Clair,42.953336,-82.456229
01/18/2025,261470005,1,5.4,ug/m3 LC,30,Port Huron,147,St. Clair,42.953336,-82.456229
01/19/2025,261470005,1,2.9,ug/m3 LC,16,Port Huron,147,St. Clair,42.953336,-82.456229
01/20/2025,261470005,1,3.2,ug/m3 LC,18,Port Huron,147,St. Clair,42.953336,-82.456229
01/21/2025,261470005,1,5.3,ug/m3 LC,29,Port Huron,147,St. Clair,42.953336,-82.456229
01/22/2025,261470005,1,7.1,ug/m3 LC,39,Port Huron,147,St. Clair,42.953336,-82.456229
01/23/2025,261470005,1,9.5,ug/m3 LC,52,Port Huron,147,St. Clair,42.953336,-82.456229
01/24/2025,261470005,1,7.2,ug/m3 LC,40,Port Huron,147,St. Clair,42.953336,-82.456229
01/25/2025,261470005,1,14,ug/m3 LC,60,Port Huron,147,St. Clair,42.953336,-82.456229
01/26/2025,261470005,1,4.1,ug/m3 LC,23,Port Huron,147,St. Clair,42.953336,-82.456229
01/27/2025,261470005,1,4.6,ug/m3 LC,26,Port Huron,147,St. Clair,42.953336,-82.456229
01/28/2025,261470005,1,3.4,ug/m3 LC,19,Port Huron,147,St. Clair,42.953336,-82.456229
01/29/2025,261470005,1,2.3,ug/m3 LC,13,Port Huron,147,St. Clair,42.953336,-82.456229
01/30/2025,261470005,1,6.7,ug/m3 LC,37,Port Huron,147,St. Clair,42.953336,-82.456229
01/31/2025,261470005,1,13.5,ug/m3 LC,59,Port Huron,147,St. Clair,42.953336,-82.456229
02/01/2025,261470005,1,2.3,ug/m3 LC,13,Port Huron,147,St. Clair,42.953336,-82.456229
02/02/2025,261470005,1,8.3,ug/m3 LC,46,Port Huron,147,St. Clair,42.953336,-82.456229
02/03/2025,261470005,1,13.5,ug/m3 LC,59,Port Huron,147,St. Clair,42.953336,-82.456229
02/04/2025,261470005,1,3.4,ug/m3 LC,19,Port Huron,147,St. Clair,42.953336,-82.456229
02/05/2025,261470005,1,3.7,ug/m3 LC,21,Port Huron,147,St. Clair,42.953336,-82.456229
02/06/2025,261470005,1,7.4,ug/m3 LC,41,Port Huron,147,St. Clair,42.953336,-82.456229
02/07/2025,261470005,1,5.3,ug/m3 LC,29,Port Huron,147,St. Clair,42.953336,-82.456229
02/08/2025,261470005,1,10.9,ug/m3 LC,54,Port Huron,147,St. Clair,42.953336,-82.456229
02/09/2025,261470005,1,6.3,ug/m3 LC,35,Port Huron,147,St. Clair,42.953336,-82.456229
02/10/2025,261470005,1,10.4,ug/m3 LC,53,Port Huron,147,St. Clair,42.953336,-82.456229
02/11/2025,261470005,1,11.3,ug/m3 LC,55,Port Huron,147,St. Clair,42.953336,-82.456229
02/12/2025,261470005,1,8.1,ug/m3 LC,45,Port Huron,147,St. Clair,42.953336,-82.456229
02/13/2025,261470005,1,6.1,ug/m3 LC,34,Port Huron,147,St. Clair,42.953336,-82.456229
02/14/2025,261470005,1,11.5,ug/m3 LC,55,Port Huron,147,St. Clair,42.953336,-82.456229
02/15/2025,261470005,1,14.7,ug/m3 LC,61,Port Huron,147,St. Clair,42.953336,-82.456229
02/16/2025,261470005,1,7.5,ug/m3 LC,42,Port Huron,147,St. Clair,42.953336,-82.456229
02/17/2025,261470005,1,5.7,ug/m3 LC,32,Port Huron,147,St. Clair,42.953336,-82.456229
02/18/2025,261470005,1,5.4,ug/m3 LC,30,Port Huron,147,St. Clair,42.953336,-82.456229
02/19/2025,261470005,1,4.8,ug/m3 LC,27,Port Huron,147,St. Clair,42.953336,-82.456229
02/20/2025,261470005,1,4.9,ug/m3 LC,27,Port Huron,147,St. Clair,42.953336,-82.456229
02/21/2025,261470005,1,3.4,ug/m3 LC,19,Port Huron,147,St. Clair,42.953336,-82.456229
02/22/2025,261470005,1,14.1,ug/m3 LC,60,Port Huron,147,St. Clair,42.953336,-82.456229
02/23/2025,261470005,1,17.8,ug/m3 LC,67,Port Huron,147,St. Clair,42.953336,-82.456229
02/24/2025,261470005,1,14.6,ug/m3 LC,61,Port Huron,147,St. Clair,42.953336,-82.456229
02/25/2025,261470005,1,9.3,ug/m3 LC,51,Port Huron,147,St. Clair,42.953336,-82.456229
02/26/2025,261470005,1,9.7,ug/m3 LC,52,Port Huron,147,St. Clair,42.953336,-82.456229
02/27/2025,261470005,1,15.4,ug/m3 LC,63,Port Huron,147,St. Clair,42.953336,-82.456229
03/01/2025,261470005,1,2.5,ug/m3 LC,14,Port Huron,147,St. Clair,42.953336,-82.456229
03/02/2025,261470005,1,2.8,ug/m3 LC,16,Port Huron,147,St. Clair,42.953336,-82.456229
03/03/2025,261470005,1,8.2,ug/m3 LC,46,Port Huron,147,St. Clair,42.953336,-82.456229
03/04/2025,261470005,1,8.9,ug/m3 LC,49,Port Huron,147,St. Clair,42.953336,-82.456229
03/05/2025,261470005,1,5.8,ug/m3 LC,32,Port Huron,147,St. Clair,42.953336,-82.456229
03/06/2025,261470005,1,1.2,ug/m3 LC,7,Port Huron,147,St. Clair,42.953336,-82.456229
03/07/2025,261470005,1,4.5,ug/m3 LC,25,Port Huron,147,St. Clair,42.953336,-82.456229
03/08/2025,261470005,1,2.3,ug/m3 LC,13,Port Huron,147,St. Clair,42.953336,-82.456229
03/09/2025,261470005,1,4.3,ug/m3 LC,24,Port Huron,147,St. Clair,42.953336,-82.456229
03/10/2025,261470005,1,6.3,ug/m3 LC,35,Port Huron,147,St. Clair,42.953336,-82.456229
